datetime,gps_time_str,lat,lon,su202,temp_C,humidity_pct,pressure_hPa,alt_m
2000-01-01 13:33:00,GPS Time :2025-10-5 7:14,25.297854,76.191831,0.19,30.45,70.65,985.4,-3.6080647
2000-01-01 13:33:06,GPS Time :2025-10-5 7:14,25.297853,76.191831,0.2,30.47,70.69,985.42,-3.7884368
2000-01-01 13:33:13,GPS Time :2025-10-5 7:14,25.297853,76.191831,0.2,30.48,70.72,985.36,-3.247311606
2000-01-01 13:33:20,GPS Time :2025-10-5 7:14,25.297852,76.191831,0.19,30.49,70.73,985.43,-3.878621739
2000-01-01 13:33:26,GPS Time :2025-10-5 7:15,25.297852,76.191831,0.2,30.5,70.78,985.37,-3.337500991
2000-01-01 13:33:33,GPS Time :2025-10-5 7:15,25.297852,76.191831,0.19,30.52,70.8,985.29,-2.615965155
2000-01-01 13:33:39,GPS Time :2025-10-5 7:15,25.297852,76.191832,0.2,30.53,70.83,985.36,-3.247311606
2000-01-01 13:33:46,GPS Time :2025-10-5 7:15,25.297853,76.191832,0.21,30.55,70.83,985.34,-3.066930612
2000-01-01 13:33:53,GPS Time :2025-10-5 7:15,25.297853,76.191832,0.2,30.57,70.99,985.35,-3.15712148
2000-01-01 13:33:59,GPS Time :2025-10-5 7:15,25.297853,76.191832,0.19,30.59,70.76,985.38,-3.427689636
2000-01-01 13:34:06,GPS Time :2025-10-5 7:15,25.297853,76.191832,0.2,30.6,70.87,985.37,-3.337500991
2000-01-01 13:34:12,GPS Time :2025-10-5 7:15,25.297854,76.191833,0.2,30.62,70.88,985.33,-2.976739003
2000-01-01 13:34:19,GPS Time :2025-10-5 7:15,25.297854,76.191833,0.2,30.64,70.88,985.39,-3.517877538
2000-01-01 13:34:26,GPS Time :2025-10-5 7:16,25.297855,76.191833,0.21,30.65,70.82,985.39,-3.517877538
2000-01-01 13:34:32,GPS Time :2025-10-5 7:16,25.297855,76.191834,0.21,30.69,70.89,985.31,-2.796353562
2000-01-01 13:34:39,GPS Time :2025-10-5 7:16,25.297855,76.191834,0.2,30.7,70.89,985.33,-2.976739003
2000-01-01 13:34:46,GPS Time :2025-10-5 7:16,25.297855,76.191834,0.21,30.72,70.89,985.33,-2.976739003
2000-01-01 13:34:52,GPS Time :2025-10-5 7:16,25.297856,76.191834,0.2,30.74,70.88,985.35,-3.15712148
2000-01-01 13:34:59,GPS Time :2025-10-5 7:16,25.297857,76.191834,0.21,30.76,70.92,985.38,-3.427689636
